time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
43 7        9.16           -            0.01       130        130              -                0
43 8        48.42          -            0.01       136        136              -                0
43 9        33.59          -            0.01       177        177              -                0
44 10       74.93          -            0.01       196        196              -                0
44 11       306.45         -            0.01       229        229              -                0
44 12       673.95         -            0.02       240        240              -                0
44 13       906.49         -            0.03       374        -                -                0
44 14       906.82         -            0.02       369        -                -                0
44 15       905.69         -            0.02       284        -                -                0
44 2        0.04           -            0.01       20         20               -                0
44 3        0.44           -            0.01       35         35               -                0
44 4        2.04           -            0.01       81         81               -                0
44 5        3.06           -            0.01       78         78               -                0
44 6        6.93           -            0.01       97         97               -                0
44 7        14.07          -            0.01       130        130              -                0
44 8        111.31         -            0.01       136        136              -                0
44 9        35.69          -            0.01       177        177              -                0
45 10       140.84         -            0.01       196        196              -                0
45 11       338.07         -            0.02       229        229              -                0
45 12       644.61         -            0.02       240        240              -                0
45 13       907.40         -            0.02       374        -                -                0
45 14       907.23         -            0.02       369        -                -                0
45 15       905.90         -            0.02       284        -                -                0
45 2        0.05           -            0.01       20         20               -                0
45 3        0.53           -            0.01       35         35               -                0
45 4        1.84           -            0.01       81         81               -                0
45 5        2.69           -            0.01       78         78               -                0
45 6        6.19           -            0.01       97         97               -                0
45 7        38.32          -            0.01       130        130              -                0
45 8        56.16          -            0.01       136        136              -                0
45 9        40.46          -            0.01       177        177              -                0
46 10       64.26          -            0.02       196        196              -                0
46 11       126.34         -            0.02       229        229              -                0
46 12       764.73         -            0.02       240        240              -                0
46 13       907.86         -            0.03       374        -                -                0
46 14       908.06         -            0.03       369        -                -                0
46 15       905.98         -            0.02       284        -                -                0
46 2        0.05           -            0.01       20         20               -                0
46 3        0.27           -            0.01       35         35               -                0
46 4        1.63           -            0.01       81         81               -                0
46 5        2.27           -            0.01       78         78               -                0
46 6        6.07           -            0.01       97         97               -                0
46 7        11.67          -            0.01       130        130              -                0
46 8        38.11          -            0.01       136        136              -                0
46 9        32.09          -            0.01       177        177              -                0
47 10       106.73         -            0.02       196        196              -                0
47 11       83.70          -            0.02       229        229              -                0
47 12       489.33         -            0.02       240        240              -                0
47 13       908.38         -            0.02       374        -                -                0
47 14       908.55         -            0.03       369        -                -                0
47 15       906.78         -            0.02       284        -                -                0
47 2        0.05           -            0.00       20         20               -                0
47 3        0.31           -            0.01       35         35               -                0
47 4        1.78           -            0.01       81         81               -                0
47 5        1.90           -            0.01       78         78               -                0
47 6        8.14           -            0.01       97         97               -                0
47 7        14.21          -            0.02       130        130              -                0
47 8        34.95          -            0.01       136        136              -                0
47 9        35.85          -            0.01       177        177              -                0
48 10       125.50         -            0.02       196        196              -                0
48 11       193.10         -            0.02       229        229              -                0
48 12       397.97         -            0.02       240        240              -                0
48 13       909.31         -            0.03       374        -                -                0
48 14       908.87         -            0.03       369        -                -                0
48 15       907.51         -            0.02       284        -                -                0
48 2        0.05           -            0.01       20         20               -                0
48 3        0.32           -            0.01       35         35               -                0
48 4        2.00           -            0.01       81         81               -                0
48 5        2.07           -            0.01       78         78               -                0
48 6        7.26           -            0.01       97         97               -                0
48 7        14.97          -            0.01       130        130              -                0
48 8        34.42          -            0.02       136        136              -                0
48 9        28.92          -            0.01       177        177              -                0
49 10       177.17         -            0.02       196        196              -                0
49 11       257.63         -            0.02       229        229              -                0
49 12       905.49         -            0.02       240        -                -                0
49 13       909.48         -            0.04       374        -                -                0
49 14       909.62         -            0.02       369        -                -                0
49 15       907.36         -            0.02       284        -                -                0
49 2        0.06           -            0.01       20         20               -                0
49 3        0.53           -            0.01       35         35               -                0
49 4        2.20           -            0.01       81         81               -                0
49 5        3.27           -            0.01       78         78               -                0
49 6        8.73           -            0.01       97         97               -                0
49 7        14.17          -            0.01       130        130              -                0
49 8        252.52         -            0.02       136        136              -                0
49 9        136.24         -            0.02       177        177              -                0
50 10       168.92         -            0.02       196        196              -                0
50 11       264.56         -            0.02       229        229              -                0
50 12       760.01         -            0.02       240        240              -                0
