# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
34 2    -           0.03         0.01       14         14               -                0
34 3    -           0.31         0.01       38         38               -                0
34 4    -           0.60         0.01       60         60               -                0
34 5    -           2.69         0.01       86         86               -                0
34 6    -           5.26         0.01       104        104              -                0
34 7    -           17.21        0.02       112        112              -                0
34 8    -           24.41        0.01       135        135              -                0
34 9    -           18.19        0.01       155        155              -                0
35 10   -           105.87       0.02       228        243              -                0
35 11   -           30.72        0.03       237        237              -                0
35 12   -           339.03       0.03       243        243              -                0
35 13   -           143.59       0.02       235        235              -                0
35 14   -           505.74       0.02       258        258              -                0
35 15   -           902.34       0.04       364        -                -                0
35 2    -           0.03         0.01       14         14               -                0
35 3    -           0.16         0.01       38         38               -                0
35 4    -           0.73         0.01       60         60               -                0
35 5    -           2.81         0.01       86         86               -                0
35 6    -           4.38         0.01       104        104              -                0
35 7    -           9.85         0.01       112        112              -                0
35 8    -           8.30         0.01       135        135              -                0
35 9    -           15.99        0.01       155        155              -                0
36 10   -           464.47       0.02       228        228              -                0
36 11   -           266.81       0.02       237        237              -                0
36 12   -           902.26       0.02       243        -                -                0
36 13   -           902.40       0.02       235        -                -                0
36 14   -           903.29       0.02       258        -                -                0
36 15   -           903.59       0.05       364        -                -                0
36 2    -           0.03         0.01       14         14               -                0
36 3    -           0.35         0.01       38         38               -                0
36 4    -           0.37         0.01       60         60               -                0
36 5    -           4.43         0.01       86         86               -                0
36 6    -           4.89         0.01       104        104              -                0
36 7    -           21.46        0.01       112        112              -                0
36 8    -           22.27        0.01       135        135              -                0
36 9    -           21.25        0.01       155        155              -                0
37 10   -           225.17       0.02       228        228              -                0
37 11   -           140.07       0.02       237        237              -                0
37 12   -           359.09       0.02       243        243              -                0
37 13   -           442.60       0.02       235        235              -                0
37 14   -           902.90       0.02       258        -                -                0
37 15   -           903.77       0.03       364        -                -                0
37 2    -           0.03         0.01       14         14               -                0
37 3    -           0.18         0.01       38         38               -                0
37 4    -           0.36         0.01       60         60               -                0
37 5    -           3.10         0.01       86         86               -                0
37 6    -           3.97         0.01       104        104              -                0
37 7    -           10.21        0.02       112        112              -                0
37 8    -           12.11        0.01       135        135              -                0
37 9    -           21.30        0.01       155        155              -                0
38 10   -           480.79       0.03       228        228              -                0
38 11   -           250.76       0.03       237        237              -                0
38 12   -           902.88       0.03       243        -                -                0
38 13   -           902.71       0.02       235        -                -                0
38 14   -           903.37       0.02       258        -                -                0
38 15   -           904.42       0.05       364        -                -                0
38 2    -           0.03         0.01       14         14               -                0
38 3    -           0.24         0.01       38         38               -                0
38 4    -           1.02         0.01       60         60               -                0
38 5    -           4.40         0.01       86         86               -                0
38 6    -           4.39         0.01       104        104              -                0
38 7    -           20.76        0.01       112        112              -                0
38 8    -           22.12        0.01       135        135              -                0
38 9    -           26.61        0.01       155        155              -                0
39 10   -           859.56       39.93      -          228              -                -
39 11   -           806.44       0.05       237        237              -                0
39 12   -           902.52       0.03       243        -                -                0
39 13   -           903.21       0.02       235        -                -                0
39 14   -           904.04       0.02       258        -                -                0
39 15   -           904.86       0.05       364        -                -                0
39 2    -           0.03         0.01       14         14               -                0
39 3    -           0.39         0.01       38         38               -                0
39 4    -           0.74         0.01       60         60               -                0
39 5    -           5.87         0.01       86         86               -                0
39 6    -           8.19         0.01       104        104              -                0
39 7    -           50.15        0.02       112        112              -                0
39 8    -           37.59        0.01       135        135              -                0
39 9    -           94.62        0.01       155        155              -                0
40 10   -           494.70       0.02       228        228              -                0
40 11   -           364.85       0.02       237        237              -                0
40 12   -           902.67       0.02       243        -                -                0
40 13   -           903.50       0.02       235        -                -                0
40 14   -           903.73       0.02       258        -                -                0
40 15   -           905.23       0.03       364        -                -                0
40 2    -           0.03         0.01       14         14               -                0
40 3    -           0.42         0.01       38         38               -                0
40 4    -           1.06         0.01       60         60               -                0
40 5    -           4.46         0.01       86         86               -                0
40 6    -           5.72         0.01       104        104              -                0
40 7    -           23.99        0.02       112        112              -                0
40 8    -           46.76        0.01       135        135              -                0
40 9    -           117.72       0.01       155        155              -                0
41 10   -           323.81       0.02       228        228              -                0
41 11   -           405.25       0.02       237        237              -                0
41 12   -           903.02       0.03       243        -                -                0
41 13   -           903.31       0.02       235        -                -                0
41 14   -           904.34       0.02       258        -                -                0
41 15   -           905.63       0.04       364        -                -                0
41 2    -           0.04         0.01       14         14               -                0
41 3    -           0.39         0.01       38         38               -                0
41 4    -           0.90         0.01       60         60               -                0
41 5    -           3.47         0.01       86         86               -                0
41 6    -           4.69         0.01       104        104              -                0
41 7    -           16.45        0.01       112        112              -                0
41 8    -           24.73        0.02       135        135              -                0
41 9    -           67.40        0.02       155        155              -                0
42 10   -           594.52       0.03       228        228              -                0
42 11   -           343.00       0.02       237        237              -                0
42 12   -           903.15       0.02       243        -                -                0
42 13   -           903.57       0.02       235        -                -                0
42 14   -           905.23       0.02       258        -                -                0
42 15   -           905.85       0.04       364        -                -                0
